,titles,replies,views,category
0,"New Help Section for New Creators (and those looking for a refresher)
Hi all! I'm excited to share a new section added to our help section, meant to help new creators and those who want to freshen up on their knowledge around creating and growing their series. Read the articles here! .… read more",11,823,Art|Comics
1,How do you copy very similar panels?,823,93,Art|Comics
2,I’ll critique your story summary! [Comics AND Novels] [currently on break due to vacation and internet connection],6,322,Art|Comics
3,The Sketch a Day Thread!,93,20.2k,Art|Comics
4,Who else sees a big change in their comic art wise?,66,151,Art|Comics
5,Post the Latest Thing You Drew,322,164.5k,Art|Comics
6,Post WIPs! (Works in progress),5.4k,5.1k,Art|Comics
7,What makes you want to do fan art?,20.2k,141,Art|Comics
8,Brainstorm! What are some good ways to tick off a witch?,34,32,Art|Comics
9,200 follower special om Instagram! Get guest art!,151,24,Art|Comics
10,Lets see your mood boards,12.7k,76,Art|Comics
11,100 Sub art request giveaway!,164.5k,85,Art|Comics
12,I made a new cover for my novel! Opinion Please,470,142,Art|Comics
13,Still can’t think of smaller stories,5.1k,92,Art|Comics
14,Artfight 2021 (share your profile links!),14,301,Art|Comics
15,Post an out of context picture from your comic!,141,885,Art|Comics
16,Presentación de Dragon Flare!. (Spanish only for now),1,23,Art|Comics
17,Post the fifth!,32,3.8k,Art|Comics
18,Using 3D Backgrounds Effectively,1,116,Art|Comics
19,"Tools for Digital art/comics, what’s yours?",24,194,Art|Comics
20,Comics with butch/ gender non conforming women/ nb lesbian characters?,6,119,Art|Comics
21,Thoughts on Ruskin’s “The Two Boyhoods” (Art history),76,62,Art|Comics
22,Art telepone:Anyone want to continue it? I finished my part,13,113,Art|Comics
23,Show you character development over the years/months!,85,175,Art|Comics
24,Creating backgrounds for webcomics,16,422,Art|Comics
25,Do you resemble your protagonist?,142,956,Art|Comics
26,I need your opinion!,4,175,Art|Comics
27,Are these silhouettes too similiar,92,191,Art|Comics
28,Draw this character in you’re style,23,71,Art|Comics
29,Fan Art for my fav’rit creators on tapas,301,1.5k,Art|Comics
30,Comic artists with experience hiring an editor or writer,55,166,Art|Comics
31,No result. I leave this site,885,622,Art|Comics
32,Do You Use Your Phone as an Art Tool?,0,73,Art|Comics
33,Only get certain scenes instead of the entire story,23,96,Art|Comics
34,Artists who work with multiple layers: why is it hard to use just one?,162,333,Art|Comics
35,Too late to rename my series?,3.8k,86,Art|Comics
36,"Drop your comic, and I’ll give you some hard critique",3,1.3k,Art|Comics
37,How to…speech bubbles in procreate?,116,91,Art|Comics
38,I will sub to your comic for inspiration and motivation!,43,203,Art|Comics
39,Today is the one year anniversary of my first webcomic!,194,85,Art|Comics
40,Have you ever considering commissioning a 3d artist?,9,93,Art|Comics
41,What is something that you added to your story that turned out to be a real hassle down the line?,119,200,Art|Comics
42,What do you think of my new characters concept art Part 2?,8,47,Art|Comics
43,Too Old to Date?,62,2.1k,Art|Comics
44,Can anyone give any feedback on this character design?,4,168,Art|Comics
45,My coloring skills suck. How do you color?,113,201,Art|Comics
46,(CLOSED) Let me draw your main characters!,19,396,Art|Comics
47,What Top 5 artists inspire and influence your artwork? I’d love to know!,175,287,Art|Comics
48,Coloring palette rules? looking for opinions/ suggestions,29,73,Art|Comics
49,Best # of Comic Panels Per Scene? Pacing Like a Movie Scene?,422,97,Art|Comics
50,A different perspective on Confidence,133,136,Art|Comics
51,“Muting is self care”,956,419,Art|Comics
52,I have decided to save up for a Huion Kamvas 22,17,101,Art|Comics
53,How to be speeed?,175,230,Art|Comics
54,100 episodes +new thumbnail art to celebrate,14,35,Art|Comics
55,What should I do before publishing a comic in here?,191,84,Art|Comics
56,Show Your Improvements! [novels and comics welcome!],0,48,Art|Comics
57,Animals in comics,71,156,Art|Comics
58,What’s the average rate for an inker?,85,115,Art|Comics
59,I see a Cintiq 12WX for 150 on my local craigslist. Is it worth it?,1.5k,94,Art|Comics
60,What’s your tips on drawing mostly dark or black characters’ lineart?,9,151,Art|Comics
61,Show the Concept Art of your Characters!,166,829,Art|Comics
62,Thoughts on this cover?,41,104,Art|Comics
63,Hidden memes in comics,622,216,Art|Comics
64,Show me your favorite art pieces from your portfolio! (Positivity Thread),5,311,Art|Comics
65,I need help with greyscale and pale skin,73,148,Art|Comics
66,Gordon Ramsay Treatment (refreshed),4,5.4k,Art|Comics
67,Rant about the atrocious books and comics you’ve read that have made you upset. (Trigger Warning),96,1.6k,Art|Comics
68,Who’s your favorite OC and Why?,31,52,Art|Comics
69,French Translations?,333,87,Art|Comics
70,Let’s support each other based on our banners!,3,130,Art|Comics
71,What do you think of my new characters’ concept art?,86,117,Art|Comics
72,I am having problems with my comic’s main storyline,158,73,Art|Comics
73,Any good sketchy brushes to recommend?,1.3k,47,Art|Comics
74,Show me your cutest characters,8,810,Art|Comics
75,Post your latest comic page - JUNE 2020,91,3.8k,Art|Comics
76,OC art Meme Challenge,31,108,Art|Comics
77,Just wanna show off my new cover,203,86,Art|Comics
78,Anybody giving Pillowfort a second try? Link to yours!,4,192,Art|Comics
79,I Need Help With Copic Markers,85,985,Art|Comics
80,I’m curious… which direction do you draw?,6,164,Art|Comics
81,Post your Comic Covers!,93,3.3k,Art|Comics
82,Which thumbnail do you like best?,11,163,Art|Comics
83,Fan talk. Zombies,200,143,Art|Comics
84,Speedpaint del bl ¨i will protect you for all eternity¨,0,55,Art|Comics
85,Hey all! Help needed with filling out drawing schedule for my comic,47,70,Art|Comics
86,The Dragon Riders [Spanish]. New at Tapas!,64,60,Art|Comics
87,Get your character design critiques here!,2.1k,506,Art|Comics
88,What is the best place to share commissions?,12,100,Art|Comics
89,Art Negativity Thread (I’ll flag any positive comment),168,144,Art|Comics
90,Do the titles of your webcomics/novels have meanings?,19,633,Art|Comics
91,Comic appearing fuzzy and blurry?,201,47,Art|Comics
92,I finally found a good drawing software,41,84,Art|Comics
93,Anyone want a Cover for their story?,396,183,Art|Comics
