,titles,replies,views,category
0,"Milestone Party Mega Thread (that killed the other ones)
Hello folks, To cut down on the surplus of milestone celebration threads and to close out our old Self Promotion Mega Thread for some fresh links, we’re combining the concepts into a new shiny space. From here on, this… read more",586,7.2k,Promotions
1,New here. Lets promote,7.2k,21.8k,Promotions
2,RECOMMEND your FANTASY Story!,22,5.2k,Promotions
3,Just updated your novel/ comic? Share it here!,90,24.1k,Promotions
4,Promotion with chapter/volume/comic covers!,85,5.3k,Promotions
5,2021 Share Your Comics And Novels,391,6.3k,Promotions
6,Explain your novel/comic in one sentence that doesn’t explain anything,172,7.1k,Promotions
7,Way to 250 subs! Share your comics and novels!,817,9.2k,Promotions
8,NEED HELP WITH PROMOTION. I can help you there,60,13.1k,Promotions
9,For those that don’t have a lot of subscribers let’s promote our work!,259,12.0k,Promotions
10,Tell me about your novels/comics and let me read them!,173,9.3k,Promotions
11,Post Your Latest page - July 2021,1.2k,7.5k,Promotions
12,What Inspired you to make a comic or a write a novel?,129,25.5k,Promotions
13,Promote your series!,694,12.6k,Promotions
14,Updated Your Comic or Novel? Share It Away!,83,5.1k,Promotions
15,"If you see this, this is your chance of promote your story (comic/novel)",399,6.1k,Promotions
16,Do you write LGBT+ stories? Share them here!,637,10.4k,Promotions
17,The fury of stray dogs,4.7k,7.5k,Promotions
18,Let’s reach 100 subs together ✌🏻🌸,67,8.0k,Promotions
19,Me and my new comic in tapas,412,5.4k,Promotions
20,"Pieces under 200 subs, big or small share your work here!",266,11.1k,Promotions
21,Sub and like for motivation!,1.1k,10.2k,Promotions
22,Your comic on TV Tropes,156,6.6k,Promotions
23,Anyone wanna promote their Comics/Novels?,781,14.7k,Promotions
24,Sub 4 Sub Promote,36,5.1k,Promotions
25,Want new subs ☠️ Sub to mine and I will return 🎸,142,21.2k,Promotions
26,No one is successful alone! Let’s grow together,201,8.2k,Promotions
27,Paste a link to your series and I’ll view,1.1k,5.8k,Promotions
28,"Need 5 subs, 10 subs, 50 subs, 100 subs? Let help each other out by Subscribing each other",3.3k,6.0k,Promotions
29,How would your protagonist fare against my protagonist in a fight?,21.8k,20.5k,Promotions
30,Sub 4 Sub - Q.Your Character’s Height? Promote (Let’s help each other get subs!),55,13.7k,Promotions
31,"Hi, I’m new here and just wanted to introduce myself",201,7.3k,Promotions
32,Manga style/B&W comics! Promote here!,43,5.4k,Promotions
33,BL novel Book Giveaway [OPEN][International/Free shipping],209,6.7k,Promotions
34,I’m making a video project! (Queer and Goofy),14,5.4k,Promotions
35,New Art Style. Feeling nervous >.>,115,9.7k,Promotions
36,Sooooo close to that first 100 … Let’s give each other a boost!,10,35.4k,Promotions
37,Marked Child - Witch and Prince Hunt,46,5.8k,Promotions
38,"Tunnel, What should I do?",16,7.0k,Promotions
39,"Share your Survival Horror, Zombies, Gritty Superhero, Horror-dark-humor, Creature horror, Post apocalyptic, Found Footage horrors (Comics & Novels) let’s gain subs!",160,5.5k,Promotions
40,Post your protag surpassing their limits!,511,6.8k,Promotions
41,"Looking for a short SHORT story? I got you! (Share your short stories, I am sick and bored)",4.1k,5.3k,Promotions
42,Let’s reach 100 Subs together!,39,10.8k,Promotions
43,Newly updated comics post here!,193,7.1k,Promotions
44,Shameless Plug: my Tapas Novel is now COMPLETE - Share yours!,29,6.2k,Promotions
45,"I need help with Promotion, in return I will draw your oc!",328,5.0k,Promotions
46,The strongest promo!,317,6.7k,Promotions
47,Advertise your novels… but badly!,2.3k,7.9k,Promotions
48,"Under 20 Subs Share your novel, Add/Sub and support each others novels 😀 💚💖",92,6.8k,Promotions
49,Share your comic!,371,5.7k,Promotions
50,Let Me Read Your Furry Comics!,13,6.5k,Promotions
51,Beginner Writers (Novels/Comics),90,6.8k,Promotions
52,Describe Your Comic/Novel Badly,199,6.1k,Promotions
53,LGBTQ+ Comics/Novels Thread,820,5.7k,Promotions
54,PROMO! Strong FEMALE Leads!,155,6.9k,Promotions
55,Here am I… a new newcomer into the Tapas comunnity,909,7.7k,Promotions
56,Will read your work [Novels/Comics],72,7.4k,Promotions
57,Just your COVER and LINK,183,8.3k,Promotions
58,"Trying to reach 25 subs or 100 subs, 250 subs?, any milestone get new subs here, lets help eachother out by sub4sub",66,14.8k,Promotions
59,Promote and make fans!,879,9.8k,Promotions
60,Share your story & socials!,29,8.5k,Promotions
61,If I like your music I’ll Subscribe!,120,7.8k,Promotions
62,Fan theory time!,12,8.3k,Promotions
63,Artwork done from mouse,67,5.3k,Promotions
64,Show your latest page in your comic! ^^,22,8.9k,Promotions
65,Convince me to read your story with one line,92,5.7k,Promotions
66,Aspiring Mangaka here,11,8.7k,Promotions
67,Promo Time: Book Cover Edition (Novels only please!),168,7.3k,Promotions
68,Question of the day- appearance edition!,0,17.4k,Promotions
69,"My comic (BL) is back after 1 month of hiatus! - Share your BL comics, too!",48,13.1k,Promotions
70,Promoting your novel/comic by explaining your cover art,11,9.2k,Promotions
71,New Fantasy GL Novel Published,81,27.4k,Promotions
72,Looking for (ongoing) novels with less than 10 chapters!,19,16.1k,Promotions
73,50 Subs and Under - Let’s Support Each Other!,111,5.0k,Promotions
