,titles,replies,views,category
0,Feedback for a Sci-fi mystery thriller story: “Them”,0,15,Reviews|Feedbacks
1,I will review all chapters of your novel/comic,15,120,Reviews|Feedbacks
2,Needing opinons,29,168,Reviews|Feedbacks
3,I will review the first 5 (Mostly more) chapters of your novel/comic!,120,514,Reviews|Feedbacks
4,Private Reviews for my comics needed,13,52,Reviews|Feedbacks
5,TOPIC FOR PLOT: can you teach emotions to an AI?,168,960,Reviews|Feedbacks
6,Would I start reading your comic/novel based on your cover,84,1.2k,Reviews|Feedbacks
7,Free honest reviews. Novels and Comics,514,703,Reviews|Feedbacks
8,Free dialog writer to improve your comic/script,5,235,Reviews|Feedbacks
9,Not feeling confident anymore,52,370,Reviews|Feedbacks
10,Feedback On My Comic Please,158,63,Reviews|Feedbacks
11,I will review the first episode of the works you put down here,960,1.1k,Reviews|Feedbacks
12,Have an Action or Sci-fi series? Share it away and I’ll check it out!,190,1.1k,Reviews|Feedbacks
13,Cat’s Reviews,1.2k,1.1k,Reviews|Feedbacks
14,Help with my cover,78,60,Reviews|Feedbacks
15,How do you guys feel about detective fostman as a character?,703,192,Reviews|Feedbacks
16,Comic Critiques Thread 2! [NO Slots! Reviewing in progress!],17,2.1k,Reviews|Feedbacks
17,Representation: Yay or Nay (I Need MORE Feedback.),235,300,Reviews|Feedbacks
18,Guess the story just by looking at the cover,23,517,Reviews|Feedbacks
19,Not sure about the main genre,370,82,Reviews|Feedbacks
20,Feedback for My Webcomic Cover?,6,120,Reviews|Feedbacks
21,Would you like to give feedback for my comics?,63,66,Reviews|Feedbacks
22,Chips filled with pines - comic series,106,40,Reviews|Feedbacks
23,Would you check out the comic/novel based on the cover?,1.1k,104,Reviews|Feedbacks
24,Comic Feedback/Critique,131,63,Reviews|Feedbacks
25,Please Critque either my novel or comic and I will like and subscribe yours,1.1k,87,Reviews|Feedbacks
26,Need help.. I got an invitation,80,159,Reviews|Feedbacks
27,What are your honest thoughts on my webcomic?,1.1k,214,Reviews|Feedbacks
28,Feedback for my webtoon. CLOSED,5,187,Reviews|Feedbacks
29,Need someone to edit and tell me how’s the script,60,92,Reviews|Feedbacks
30,How can I improve the writing of the first episode any farther?,7,158,Reviews|Feedbacks
31,Critique my comic idea?,192,143,Reviews|Feedbacks
32,Feedback on my comics please!,78,59,Reviews|Feedbacks
33,How do i get opinions on my novels plot?,2.1k,83,Reviews|Feedbacks
34,Critique my comic?,20,59,Reviews|Feedbacks
35,Feedback on Colours?,300,141,Reviews|Feedbacks
36,Please help me with my new art style,132,146,Reviews|Feedbacks
37,[Open] Free Drawing for a Critique of All Current Chapters of My Comic,517,160,Reviews|Feedbacks
38,Any web developers wanna give feedback on my new homepage?,1,153,Reviews|Feedbacks
39,I Will Read/Comment/Like the 1st 15 chapters of your Novel if you Read and Critique the 1st 10 of mine! 4/5,82,341,Reviews|Feedbacks
40,Give Me Feedback on My Description 🙏,9,79,Reviews|Feedbacks
41,Constructive Criticism Club 🎯,120,967,Reviews|Feedbacks
42,"I thought of changing my thumbnail, what do you guys think?",2,64,Reviews|Feedbacks
43,Advice on a Starting Paragraph,66,118,Reviews|Feedbacks
44,Survey for “Kawaii” Character Design,0,92,Reviews|Feedbacks
45,Lookking for honest opinions (book cover),40,185,Reviews|Feedbacks
46,Feedback on my book,8,73,Reviews|Feedbacks
47,Let me know what you think of my blurbs: comments needed,104,87,Reviews|Feedbacks
48,Opinions about book cover & ways to fix it,7,85,Reviews|Feedbacks
49,"✨What if your comic/novel is in a bookstore, will I grab, read, and buy your comic/novel? (+promotion)✨",63,449,Reviews|Feedbacks
50,"Dying for some feedback! New here, pleased to meet you!",7,54,Reviews|Feedbacks
51,Feedback on my book cover please!,87,68,Reviews|Feedbacks
52,Give me your first impression on my novel!,6,94,Reviews|Feedbacks
53,"Trying to improve, can I get some feedback?",159,294,Reviews|Feedbacks
54,Crit my comics?,7,125,Reviews|Feedbacks
55,Give my Novel Some Revisions!,214,106,Reviews|Feedbacks
56,Some good old criticism could help me get better,10,128,Reviews|Feedbacks
57,Constructive Criticism for Webtoon,187,101,Reviews|Feedbacks
58,Crit my comic please,3,130,Reviews|Feedbacks
59,"Feedback help, plz give me feedback by that I can improve myself, and I’ll try to give feedback on yours",92,121,Reviews|Feedbacks
60,"Feedback on my webtoon. Art, story, etc",10,106,Reviews|Feedbacks
61,Feedback help. I humbly ask for eager and honest souls,158,133,Reviews|Feedbacks
62,Looking for feedback on a 5-page Short Comic Script,8,58,Reviews|Feedbacks
63,In need of some Constructive Criticism/Review,143,127,Reviews|Feedbacks
64,Review my comic por favor =3,0,88,Reviews|Feedbacks
65,Critique: Adding comic-like elements to a novel,59,64,Reviews|Feedbacks
66,Criticism Need For My Comic,1,102,Reviews|Feedbacks
67,Asking critique for my webtoon,83,136,Reviews|Feedbacks
68,Read for read (+promo),2,231,Reviews|Feedbacks
69,Anyone want a legibility critique for your comic? slots filled!,59,246,Reviews|Feedbacks
70,"Private reviews (Closed for now, bit off more than I could chew)",13,520,Reviews|Feedbacks
