,titles,replies,views,category
0,"[Read Before Reporting Bugs] How to Report Bugs
If you are experiencing any technical problems or bugs on our website, please provide us with as much information as possible to expedite the process. Please use this template: Describe the bug: A clear and detailed… read more",2,395,Tech Support
1,Bug: Early Access comics don’t remember my place,395,118,Tech Support
2,Ad revenue problem!,5,484,Tech Support
3,This is an ad.. Is this allowed?,118,129,Tech Support
4,Can’t activate Support Option even after reaching Milestone,30,151,Tech Support
5,Tapas Blocked My Entire Series For ‘Child Endangerment Content’,484,826,Tech Support
6,My original series was blocked - help/advice needed,8,95,Tech Support
7,Missing Support Revenues,129,49,Tech Support
8,SOLVED – My Premium Novel showing up as unlisted?,6,124,Tech Support
9,"Tapas whats up with the unsubscriptions after each time i get a new sub, seems very suspicious",151,242,Tech Support
10,Comic doesn’t appear in Fresh section,34,156,Tech Support
11,“I’m not a robot” confirmation issues,826,178,Tech Support
12,Didn’t get ink I purchased after 3 days,2,29,Tech Support
13,Error with Episode Order,95,122,Tech Support
14,"Chapter saved as draft, but text gone?",2,46,Tech Support
15,People can’t see my comic,49,83,Tech Support
16,Dreame Site Spam,4,148,Tech Support
17,Any way to switch to Dark Mode on Tapas (desktop/browser version)?,124,46,Tech Support
18,. tapas deleted my account ? pls help,9,131,Tech Support
19,Whenever I download episodes on Tapas the app crashes,242,48,Tech Support
20,I just…deleted everything,4,486,Tech Support
21,"I’m starting to feel a bit CONCERNED about Tapas official releases (Technical Support, please!)",156,183,Tech Support
22,Text alignment for novels no longer work,4,67,Tech Support
23,Video recording and editing apps,178,1.2k,Tech Support
24,Tapas’ pages takes too long to load,0,43,Tech Support
25,Why my last two post is disappeared? It could happen to you too!,29,420,Tech Support
26,I can’t view my own empty series,7,90,Tech Support
27,A little help? Blocked Story?,122,67,Tech Support
28,How did I get a Tapas notification when it’s blocked?,1,356,Tech Support
29,Weekly performance reports,46,112,Tech Support
30,[Bug] Chapters: Interactive Stories for 2k Ink,3,54,Tech Support
31,SPAMMER in COMMENTS Doing Rounds Again,83,549,Tech Support
