,titles,replies,views,category
0,"Tapas Paster for Novelists by miqinviolin 🕮
[image] Hello, novelists! We would like to share Tapas Paster, a FREE Google Chrome extension created by miqinviolin. It allows novelists to paste formatted text into the Tapas novel editor while retaining bold & it… read more",6,399,Writing|Novels
1,What do you think about diary entries?,399,32,Writing|Novels
2,"Strange, Weird, HUH? with Kindle Vella Writers",4,1.1k,Writing|Novels
3,Cover of your novel!,32,719,Writing|Novels
4,Let’s have a BL Novel Showcase! (I want to find BL novels to read!),199,2.5k,Writing|Novels
5,Where can I post unwanted scripts?,1.1k,71,Writing|Novels
6,World Building. What’s your magic system?,78,109,Writing|Novels
7,Share Your Stories - I’ll Read Them (Novels),719,249,Writing|Novels
8,Is Omegaverse a dirty word now?,255,353,Writing|Novels
9,Please Help ;__; I’m confusing myself with my own plotline T^T,2.5k,211,Writing|Novels
10,HELP! I need help with my novel,5,121,Writing|Novels
11,How much should authors explain about their work? (+poll),71,188,Writing|Novels
12,Post The Last Sentence You Wrote,14,18.9k,Writing|Novels
13,"📺 Share Favorite Vids about Scene-Sequencing, Worldbuilding or Storytelling/Writing etc",109,70,Writing|Novels
14,Your Out of Context Sentences (Promote Your Story),46,9.5k,Writing|Novels
15,The Underated Books Club (please read first message before posting),249,164,Writing|Novels
16,Share a Content Advisory for your Series!,19,278,Writing|Novels
17,Post ONE random sentence from your latest chapter,353,15.2k,Writing|Novels
18,New Novelists! share your novels and we can check eachother!,22,1.3k,Writing|Novels
19,POST 2 lines of dialogue between any Two characters from your NOVEL,211,9.6k,Writing|Novels
20,I’ll read your novels!,7,2.8k,Writing|Novels
21,There are 18 types of windows - what useless facts did you learn from writing your novel?,121,80,Writing|Novels
22,I wanna do some cover art for FREEEEEEEE!,18,272,Writing|Novels
23,Worldbuilding questions!,188,168,Writing|Novels
24,Ajuda para escrever,1.2k,42,Writing|Novels
25,Share your favorite part from your novel,18.9k,214,Writing|Novels
26,Would you read this (deep fantasy version) ~ UPDATE,3,89,Writing|Novels
27,I’m leaving tapas and here is why,70,536,Writing|Novels
28,Share experiences about novels or comics,693,155,Writing|Novels
29,"I asked this of artist, now for Writers!",9.5k,521,Writing|Novels
30,When PRODUCERS come KNOCKING,12,264,Writing|Novels
31,Any good novels/comics with Transgender characters?,164,120,Writing|Novels
32,Share Your Stories! (R4R Novels Only),33,93,Writing|Novels
33,Share your Novel cover!,278,17.6k,Writing|Novels
34,Hi! hola mundo!,1.3k,118,Writing|Novels
35,"Hello all, I have a new novel I’m working on, I would like some critique on it",15.2k,50,Writing|Novels
36,Finding Success While Writing In Niche Genres,91,217,Writing|Novels
37,Novelists Post Your Novels Here!,1.3k,10.3k,Writing|Novels
38,Wanted to Share this Scene,798,49,Writing|Novels
39,Searching for Slice of Life stories (call for self promotion),9.6k,2.0k,Writing|Novels
40,"Writers, what’s your writing process like?",119,296,Writing|Novels
41,Q & A Questions,2.8k,97,Writing|Novels
42,Death of a character in your writing,14,216,Writing|Novels
